"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Casey Mittelstadt","C","8.7833333333333","10","8","55.56","4.74","8","7","53.33","-3.19","5","5","50.00","-3.13","1","1","50.00","-50.00","4","3","57.14","9.77","1","2","33.33","-36.67","4","1","0","7","100.00","6","3","1","85.71"
"Conor Sheary","L","7.0666666666667","9","7","56.25","5.46","7","6","53.85","-2.40","4","4","50.00","-2.94","1","1","50.00","-50.00","4","2","66.67","21.67","1","2","33.33","-36.67","6","1","0","4","100.00","6","3","1","85.71"
"Evan Rodrigues","L","11.3","10","11","47.62","-5.83","7","9","43.75","-16.25","4","7","36.36","-21.70","0","0","-","-","4","2","66.67","21.67","2","1","66.67","6.67","0","2","2","7","0.00","0","4","4","0.00"
"Jack Eichel","C","12.483333333333","16","12","57.14","8.12","14","8","63.64","12.35","10","6","62.50","16.35","1","0","100.00","50.00","7","5","58.33","15.48","4","1","80.00","30.00","1","3","2","7","33.33","2","6","4","33.33"
"Jason Pominville","R","8.7666666666667","8","7","53.33","1.77","8","4","66.67","13.61","5","3","62.50","12.50","0","0","-","-","5","3","62.50","18.06","2","1","66.67","6.67","1","3","3","5","25.00","5","5","5","50.00"
"Jeff Skinner","L","12.683333333333","17","13","56.67","7.69","15","8","65.22","15.22","11","6","64.71","20.71","1","0","100.00","50.00","7","6","53.85","7.69","4","1","80.00","30.00","1","3","2","7","33.33","2","6","4","33.33"
"Johan Larsson","C","10.2","10","11","47.62","-5.83","7","8","46.67","-12.03","4","6","40.00","-16.25","0","0","-","-","4","2","66.67","21.67","2","1","66.67","6.67","0","2","2","7","0.00","0","4","4","0.00"
"Kyle Okposo","R","8.3666666666667","8","7","53.33","1.77","6","6","50.00","-7.14","4","4","50.00","-2.94","1","1","50.00","-50.00","3","2","60.00","12.38","0","2","0.00","-72.73","4","1","0","6","100.00","6","3","1","85.71"
"Lawrence Pilut","D","14.466666666667","16","17","48.48","-5.86","15","12","55.56","-0.33","8","9","47.06","-8.94","1","0","100.00","50.00","9","5","64.29","30.95","7","1","87.50","67.50","3","4","3","7","50.00","5","8","4","55.56"
"Matt Tennyson","D","9.0333333333333","12","6","66.67","19.13","11","6","64.71","12.43","9","5","64.29","17.86","1","0","100.00","50.00","4","2","66.67","21.67","1","1","50.00","-13.64","2","2","3","7","40.00","5","2","4","55.56"
"Nathan Beaulieu","D","10.866666666667","15","6","71.43","26.60","13","5","72.22","23.39","12","5","70.59","30.59","1","0","100.00","50.00","5","2","71.43","29.32","0","1","0.00","-66.67","2","1","3","8","40.00","6","2","4","60.00"
"Rasmus Dahlin","D","15.266666666667","12","14","46.15","-8.56","8","10","44.44","-16.02","4","6","40.00","-16.25","0","1","0.00","-100.00","6","6","50.00","0.00","1","3","25.00","-52.78","1","3","3","9","25.00","2","8","7","22.22"
"Rasmus Ristolainen","D","16.416666666667","16","18","47.06","-8.50","14","11","56.00","0.44","8","8","50.00","-3.85","0","0","-","-","8","4","66.67","30.95","5","1","83.33","40.48","3","3","3","8","50.00","6","8","4","60.00"
"Sam Reinhart","C","12.85","15","13","53.57","2.59","13","8","61.90","9.40","9","6","60.00","11.85","1","0","100.00","50.00","7","6","53.85","7.69","4","1","80.00","30.00","1","3","2","7","33.33","2","6","4","33.33"
"Tage Thompson","R","8.95","5","7","41.67","-12.06","5","4","55.56","-0.21","3","3","50.00","-2.78","0","0","-","-","4","3","57.14","9.77","1","1","50.00","-13.64","3","3","3","3","50.00","5","5","5","50.00"
"Vladimir Sobotka","C","8.4","5","7","41.67","-12.06","5","4","55.56","-0.21","3","3","50.00","-2.78","0","0","-","-","4","3","57.14","9.77","1","1","50.00","-13.64","3","3","3","3","50.00","5","5","5","50.00"
"Zach Bogosian","D","13.95","11","15","42.31","-14.30","7","10","41.18","-20.19","3","7","30.00","-29.38","1","1","50.00","-50.00","6","7","46.15","-7.69","2","3","40.00","-35.00","1","3","1","9","50.00","2","8","5","28.57"
"Zemgus Girgensons","C","10.15","10","11","47.62","-5.83","7","9","43.75","-16.25","4","7","36.36","-21.70","0","0","-","-","4","2","66.67","21.67","2","1","66.67","6.67","0","2","2","7","0.00","0","4","4","0.00"